feature,specificity
DRUG_ID,others
SCAN_DRUGID_COSMICID_KEY,others
COSMIC_ID,others
DF,others
MAX_CONC,others
fd_num_0,others
fd_num_1,others
fd_num_2,others
fd_num_3,others
fd_num_4,others
fd_num_5,others
norm_cells_0,others
norm_cells_1,others
norm_cells_2,others
norm_cells_3,others
norm_cells_4,others
norm_cells_5,others
param_1,others
param_2,others
param_3,others
param_4,others
ARID1A_mut,cell_line_mutation
ARID2_mut,cell_line_mutation
BRAF_mut,cell_line_mutation
CDKN2A_mut,cell_line_mutation
EZH2_mut,cell_line_mutation
MECOM_mut,cell_line_mutation
NF1_mut,cell_line_mutation
NRAS_mut,cell_line_mutation
PLCB1_mut,cell_line_mutation
PTEN_mut,cell_line_mutation
TP53_mut,cell_line_mutation
loss.cnaSKCM3,cell_line_cna
loss.cnaSKCM4..BNC2.CDKN2A.JAK2.PSIP1.,cell_line_cna
loss.cnaSKCM5..PAX5.,cell_line_cna
loss.cnaSKCM9,cell_line_cna
gain.cnaSKCM12..KRAS.,cell_line_cna
gain.cnaSKCM21..FOXP1.MITF.,cell_line_cna
loss.cnaSKCM22,cell_line_cna
loss.cnaSKCM23,cell_line_cna
loss.cnaSKCM24..loss.cnaSKCM25,cell_line_cna
loss.cnaSKCM26,cell_line_cna
loss.cnaSKCM27..CASP1.,cell_line_cna
loss.cnaSKCM28,cell_line_cna
loss.cnaSKCM30,cell_line_cna
